icpsr_study_number,n_articles,max_detection_score,mean_detection_score,title,doi,snippet,cluster
7580.0,1,38.0,38.0,"Time Use in Economic and Social Accounts, 1975-1976",https://doi.org/10.3886/icpsr07580,"https://doi.org/10.3886/ICPSR07580.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
F.",0
7696.0,1,39.0,39.0,"Quality of Employment Survey, 1973-1977: Panel",https://doi.org/10.3886/icpsr07696,"https://doi.org/10.3886/ICPSR07696.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Robert P.",0
7735.0,1,37.0,37.0,"County and City Data Book [United States] Consolidated File: City Data, 1944-1977",https://doi.org/10.3886/icpsr07735,"https://doi.org/10.3886/ICPSR07735.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States.",0
8159.0,2,45.0,45.0,"Basic Geographic and Historic Data for Interfacing ICPSR Data Sets, 1620-1983 [United States]",https://doi.org/10.3886/icpsr08159.v2,"https://doi.org/10.3886/ICPSR08159.v2
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Robert P.",0
9211.0,1,35.0,35.0,"Physical Violence in American Families, 1985",https://doi.org/10.3886/icpsr09211,"https://doi.org/10.3886/ICPSR09211.v3
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Richard J.",0
13670.0,1,52.0,52.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Addendum (Primary Caregiver), Wave 3, 2000-2002",https://doi.org/10.3886/icpsr13670,"https://doi.org/10.3886/ICPSR13670.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Felton J.",0
13717.0,1,38.0,38.0,"Project on Human Development in Chicago Neighborhoods (PHDCN): Personal Identity, Wave 3, 2000-2002",https://doi.org/10.3886/icpsr13717.v1,"https://doi.org/10.3886/ICPSR13717.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Felton J.",0
20440.0,1,37.0,37.0,"Nations, Development, and Democracy, 1800-2005",https://doi.org/10.3886/icpsr20440.v1,"https://doi.org/10.3886/ICPSR20440.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Barbara Wejnert
, University at Buffalo-SUNY
https://doi.org/10.3886/ICPSR20440.v1
Version V1
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
To serve the scholarly community's growing interest in the
process of democratization in the world over the past 200 years, this
data collection consists of a compiled database that assesses 187 (20
historical and 167 contemporary) sovereign countries from 1800-2005.",0
24642.0,1,40.0,40.0,"Census of State and Federal Adult Correctional Facilities, 2005",https://doi.org/10.3886/icpsr24642,"https://doi.org/10.3886/ICPSR24642.v3
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Justice.",0
25962.0,1,18.0,18.0,Estimating the Population Size of Men Who Have Sex with Men in the United States to Obtain HIV and Syphilis Rates§,https://doi.org/10.2174/1874613601206010098,"doi:10.3886/ICPSR25505 Each year available separately at:
http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/25505?archive=ICPSR&q=NHANES
[Accessed March 21, 2011];
17
United States Department of Health and Human Services.",0
26602.0,1,41.0,41.0,"Census of Jail Facilities, 2006",https://doi.org/10.3886/icpsr26602,"https://doi.org/10.3886/ICPSR26602.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Justice.",0
27647.0,1,35.0,35.0,"National Incident-Based Reporting System, 2008",https://doi.org/10.3886/icpsr27647,"https://doi.org/10.3886/ICPSR27647.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Justice.",0
30001.0,1,39.0,39.0,"Ithaka S+R Faculty Survey 2009: Key Strategic Insights for Libraries, Publishers, and Societies",https://doi.org/10.3886/icpsr30001,"https://doi.org/10.3886/ICPSR30001.v2
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Roger C.",0
32022.0,2,38.0,38.0,"Police-Public Contact Survey, 2008",https://doi.org/10.3886/icpsr32022,"https://doi.org/10.3886/ICPSR32022.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States Department of Justice.",0
34141.0,1,40.0,40.0,"Health Tracking Household Survey, 2010 [United States]",https://doi.org/10.3886/icpsr34141.v1,"https://doi.org/10.3886/ICPSR34141.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Center for Studying Health System Change
Series:
Community Tracking Study Series
https://doi.org/10.3886/ICPSR34141.v1
Version V1
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
This is the second survey in the Health Tracking Household Survey (HTHS) series, the successor to the Community Tracking Study (CTS) Household Surveys.",0
34297.0,1,43.0,43.0,State Legislative Election Returns (1967-2010),https://doi.org/10.3886/icpsr34297,"https://doi.org/10.3886/ICPSR34297.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Carl Klarner
, Indiana State University;
William D.",0
34580.0,1,36.0,36.0,"Uniform Crime Reporting Program Data: Arrests by Age, Sex, and Race, United States, 2011",https://doi.org/10.3886/icpsr34580,"https://doi.org/10.3886/ICPSR34580.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
United States.",0
35002.0,1,36.0,36.0,"Examining the Structure, Organization, and Processes of the International Market for Stolen Data, 2007-2012",https://doi.org/10.3886/icpsr35002,"https://doi.org/10.3886/ICPSR35002.v1
Export Citation:
RIS
(generic format for RefWorks, EndNote, etc.)
EndNote
Principal Investigator(s):
View help for Principal Investigator(s)
Thomas Holt
, Michigan State University;
Olga Smirnova
, East Carolina University
https://doi.org/10.3886/ICPSR35002.v1
Version V1
Analyze Online (SDA)
Slide tabs to view more
At A Glance
Data & Documentation
Variables
Data-related Publications
Export Metadata
Staff
Project Description
Summary
View help for Summary
These data are part of NACJD's Fast Track Release and are distributed as they were received from the data depositor.",0
36231.0,1,6.0,6.0,Tobacco-Product Use by Adults and Youths in the United States in 2013 and 2014,https://doi.org/10.1056/nejmsa1607538,"A nonresponse bias analysis for Wave 1 can be found at
https://doi.org/10.3886/ICPSR36231
.",0
37353.0,1,22.0,22.0,A national experiment reveals where a growth mindset improves achievement,https://doi.org/10.1038/s41586-019-1466-y,"Data availability
Technical documentation for the National Study of Learning Mindsets is available from ICPSR at the University of Michigan (
https://doi.org/10.3886/ICPSR37353.v1
).",0
